retn_code,foodgrp_code,food_type,food_desc,cook_method_1,cook_method_2,cook_method_addon,cook_time,nutrient_num,nutrient_desc,retn_factor
1405,10,PORK,FRESH GROUND,SIMMERED,,WO/DRIPPINGS,,415,Vitamin B-6,50
1405,10,PORK,FRESH GROUND,SIMMERED,,WO/DRIPPINGS,,417,"Folate, total",65
1405,10,PORK,FRESH GROUND,SIMMERED,,WO/DRIPPINGS,,431,Folic acid,65
1405,10,PORK,FRESH GROUND,SIMMERED,,WO/DRIPPINGS,,432,"Folate, food",65
1405,10,PORK,FRESH GROUND,SIMMERED,,WO/DRIPPINGS,,421,"Choline, total",90
1405,10,PORK,FRESH GROUND,SIMMERED,,WO/DRIPPINGS,,418,Vitamin B-12,60
1405,10,PORK,FRESH GROUND,SIMMERED,,WO/DRIPPINGS,,318,"Vitamin A, IU",75
1405,10,PORK,FRESH GROUND,SIMMERED,,WO/DRIPPINGS,,392,"Vitamin A, RE",75
1405,10,PORK,FRESH GROUND,SIMMERED,,WO/DRIPPINGS,,221,"Alcohol, ethyl",100
1405,10,PORK,FRESH GROUND,SIMMERED,,WO/DRIPPINGS,,321,"Carotene, beta",75
1405,10,PORK,FRESH GROUND,SIMMERED,,WO/DRIPPINGS,,322,"Carotene, alpha",75
1405,10,PORK,FRESH GROUND,SIMMERED,,WO/DRIPPINGS,,334,"Cryptoxanthin, beta",75
1405,10,PORK,FRESH GROUND,SIMMERED,,WO/DRIPPINGS,,337,Lycopene,75
1405,10,PORK,FRESH GROUND,SIMMERED,,WO/DRIPPINGS,,338,Lutein + zeaxanthin,75
1707,10,SAUSAGE(PORK),RAW,BROILED,,,,301,Calcium,85
1707,10,SAUSAGE(PORK),RAW,BROILED,,,,303,Iron,65
1707,10,SAUSAGE(PORK),RAW,BROILED,,,,304,Magnesium,75
1707,10,SAUSAGE(PORK),RAW,BROILED,,,,305,Phosphorus,75
1707,10,SAUSAGE(PORK),RAW,BROILED,,,,306,Potassium,85
1707,10,SAUSAGE(PORK),RAW,BROILED,,,,307,Sodium,75
1707,10,SAUSAGE(PORK),RAW,BROILED,,,,309,Zinc,75
1707,10,SAUSAGE(PORK),RAW,BROILED,,,,312,Copper,95
1707,10,SAUSAGE(PORK),RAW,BROILED,,,,401,"Vitamin C, total ascorbic acid",50
1707,10,SAUSAGE(PORK),RAW,BROILED,,,,404,Thiamin,65
1707,10,SAUSAGE(PORK),RAW,BROILED,,,,405,Riboflavin,75
1707,10,SAUSAGE(PORK),RAW,BROILED,,,,406,Niacin,75
1707,10,SAUSAGE(PORK),RAW,BROILED,,,,415,Vitamin B-6,60
1707,10,SAUSAGE(PORK),RAW,BROILED,,,,417,"Folate, total",30
1707,10,SAUSAGE(PORK),RAW,BROILED,,,,431,Folic acid,30
1707,10,SAUSAGE(PORK),RAW,BROILED,,,,432,"Folate, food",30
1707,10,SAUSAGE(PORK),RAW,BROILED,,,,421,"Choline, total",95
1707,10,SAUSAGE(PORK),RAW,BROILED,,,,418,Vitamin B-12,70
1707,10,SAUSAGE(PORK),RAW,BROILED,,,,318,"Vitamin A, IU",75
1707,10,SAUSAGE(PORK),RAW,BROILED,,,,392,"Vitamin A, RE",75
1707,10,SAUSAGE(PORK),RAW,BROILED,,,,221,"Alcohol, ethyl",100
1707,10,SAUSAGE(PORK),RAW,BROILED,,,,321,"Carotene, beta",75
1707,10,SAUSAGE(PORK),RAW,BROILED,,,,322,"Carotene, alpha",75
1707,10,SAUSAGE(PORK),RAW,BROILED,,,,334,"Cryptoxanthin, beta",75
1707,10,SAUSAGE(PORK),RAW,BROILED,,,,337,Lycopene,75
1707,10,SAUSAGE(PORK),RAW,BROILED,,,,338,Lutein + zeaxanthin,75
1706,10,SAUSAGE(PORK),RAW,COOKED,,W/DRIPPINGS,,301,Calcium,100
1706,10,SAUSAGE(PORK),RAW,COOKED,,W/DRIPPINGS,,303,Iron,100
1706,10,SAUSAGE(PORK),RAW,COOKED,,W/DRIPPINGS,,304,Magnesium,100
1706,10,SAUSAGE(PORK),RAW,COOKED,,W/DRIPPINGS,,305,Phosphorus,100
1706,10,SAUSAGE(PORK),RAW,COOKED,,W/DRIPPINGS,,306,Potassium,100
1706,10,SAUSAGE(PORK),RAW,COOKED,,W/DRIPPINGS,,307,Sodium,100
1706,10,SAUSAGE(PORK),RAW,COOKED,,W/DRIPPINGS,,309,Zinc,100
1706,10,SAUSAGE(PORK),RAW,COOKED,,W/DRIPPINGS,,312,Copper,100
1706,10,SAUSAGE(PORK),RAW,COOKED,,W/DRIPPINGS,,401,"Vitamin C, total ascorbic acid",70
1706,10,SAUSAGE(PORK),RAW,COOKED,,W/DRIPPINGS,,404,Thiamin,80
1706,10,SAUSAGE(PORK),RAW,COOKED,,W/DRIPPINGS,,405,Riboflavin,90
1706,10,SAUSAGE(PORK),RAW,COOKED,,W/DRIPPINGS,,406,Niacin,90
1706,10,SAUSAGE(PORK),RAW,COOKED,,W/DRIPPINGS,,415,Vitamin B-6,85
1706,10,SAUSAGE(PORK),RAW,COOKED,,W/DRIPPINGS,,417,"Folate, total",50
1706,10,SAUSAGE(PORK),RAW,COOKED,,W/DRIPPINGS,,431,Folic acid,50
1706,10,SAUSAGE(PORK),RAW,COOKED,,W/DRIPPINGS,,432,"Folate, food",50
1706,10,SAUSAGE(PORK),RAW,COOKED,,W/DRIPPINGS,,421,"Choline, total",95
1706,10,SAUSAGE(PORK),RAW,COOKED,,W/DRIPPINGS,,418,Vitamin B-12,85
1706,10,SAUSAGE(PORK),RAW,COOKED,,W/DRIPPINGS,,318,"Vitamin A, IU",80
1706,10,SAUSAGE(PORK),RAW,COOKED,,W/DRIPPINGS,,392,"Vitamin A, RE",85
1706,10,SAUSAGE(PORK),RAW,COOKED,,W/DRIPPINGS,,221,"Alcohol, ethyl",100
1706,10,SAUSAGE(PORK),RAW,COOKED,,W/DRIPPINGS,,321,"Carotene, beta",80
1706,10,SAUSAGE(PORK),RAW,COOKED,,W/DRIPPINGS,,322,"Carotene, alpha",80
1706,10,SAUSAGE(PORK),RAW,COOKED,,W/DRIPPINGS,,334,"Cryptoxanthin, beta",80
1706,10,SAUSAGE(PORK),RAW,COOKED,,W/DRIPPINGS,,337,Lycopene,80
1706,10,SAUSAGE(PORK),RAW,COOKED,,W/DRIPPINGS,,338,Lutein + zeaxanthin,80
1705,10,SAUSAGE(PORK),RAW,COOKED,,WO/DRIPPINGS,,301,Calcium,85
1705,10,SAUSAGE(PORK),RAW,COOKED,,WO/DRIPPINGS,,303,Iron,65
1705,10,SAUSAGE(PORK),RAW,COOKED,,WO/DRIPPINGS,,304,Magnesium,75
1705,10,SAUSAGE(PORK),RAW,COOKED,,WO/DRIPPINGS,,305,Phosphorus,75
1705,10,SAUSAGE(PORK),RAW,COOKED,,WO/DRIPPINGS,,306,Potassium,85
1705,10,SAUSAGE(PORK),RAW,COOKED,,WO/DRIPPINGS,,307,Sodium,75
1705,10,SAUSAGE(PORK),RAW,COOKED,,WO/DRIPPINGS,,309,Zinc,75
1705,10,SAUSAGE(PORK),RAW,COOKED,,WO/DRIPPINGS,,312,Copper,95
1705,10,SAUSAGE(PORK),RAW,COOKED,,WO/DRIPPINGS,,401,"Vitamin C, total ascorbic acid",50
1705,10,SAUSAGE(PORK),RAW,COOKED,,WO/DRIPPINGS,,404,Thiamin,65
1705,10,SAUSAGE(PORK),RAW,COOKED,,WO/DRIPPINGS,,405,Riboflavin,75
1705,10,SAUSAGE(PORK),RAW,COOKED,,WO/DRIPPINGS,,406,Niacin,75
1705,10,SAUSAGE(PORK),RAW,COOKED,,WO/DRIPPINGS,,415,Vitamin B-6,60
1705,10,SAUSAGE(PORK),RAW,COOKED,,WO/DRIPPINGS,,417,"Folate, total",30
1705,10,SAUSAGE(PORK),RAW,COOKED,,WO/DRIPPINGS,,431,Folic acid,30
1705,10,SAUSAGE(PORK),RAW,COOKED,,WO/DRIPPINGS,,432,"Folate, food",30
1705,10,SAUSAGE(PORK),RAW,COOKED,,WO/DRIPPINGS,,421,"Choline, total",95
1705,10,SAUSAGE(PORK),RAW,COOKED,,WO/DRIPPINGS,,418,Vitamin B-12,70
1705,10,SAUSAGE(PORK),RAW,COOKED,,WO/DRIPPINGS,,318,"Vitamin A, IU",75
1705,10,SAUSAGE(PORK),RAW,COOKED,,WO/DRIPPINGS,,392,"Vitamin A, RE",75
1705,10,SAUSAGE(PORK),RAW,COOKED,,WO/DRIPPINGS,,221,"Alcohol, ethyl",100
1705,10,SAUSAGE(PORK),RAW,COOKED,,WO/DRIPPINGS,,321,"Carotene, beta",75
1705,10,SAUSAGE(PORK),RAW,COOKED,,WO/DRIPPINGS,,322,"Carotene, alpha",75
1705,10,SAUSAGE(PORK),RAW,COOKED,,WO/DRIPPINGS,,334,"Cryptoxanthin, beta",75
1705,10,SAUSAGE(PORK),RAW,COOKED,,WO/DRIPPINGS,,337,Lycopene,75
1705,10,SAUSAGE(PORK),RAW,COOKED,,WO/DRIPPINGS,,338,Lutein + zeaxanthin,75
1709,10,SAUSAGE(PORK),RAW,SAUTEED,,,,301,Calcium,85
1709,10,SAUSAGE(PORK),RAW,SAUTEED,,,,303,Iron,65
1709,10,SAUSAGE(PORK),RAW,SAUTEED,,,,304,Magnesium,75
1709,10,SAUSAGE(PORK),RAW,SAUTEED,,,,305,Phosphorus,75
1709,10,SAUSAGE(PORK),RAW,SAUTEED,,,,306,Potassium,85
1709,10,SAUSAGE(PORK),RAW,SAUTEED,,,,307,Sodium,75
